"","moduleColors","Gene"
"5924","blue","gene.Ha412HOChr05g0228091"
"5925","ivory","gene.Ha412HOChr05g0228111"
"5926","ivory","gene.Ha412HOChr05g0228311"
"5927","darkolivegreen","gene.Ha412HOChr05g0228321"
"5928","cyan","gene.Ha412HOChr05g0228371"
"5929","black","gene.Ha412HOChr05g0228611"
"5930","antiquewhite2","gene.Ha412HOChr05g0228681"
"5931","mediumpurple3","gene.Ha412HOChr05g0228771"
"5932","turquoise","gene.Ha412HOChr05g0228931"
"5933","yellowgreen","gene.Ha412HOChr05g0228941"
"5934","lavenderblush2","gene.Ha412HOChr05g0228971"
"5935","yellow","gene.Ha412HOChr05g0229001"
"5936","navajowhite1","gene.Ha412HOChr05g0229021"
"5937","darkturquoise","gene.Ha412HOChr05g0229031"
"5938","darkgreen","gene.Ha412HOChr05g0229041"
"5939","skyblue3","gene.Ha412HOChr05g0229051"
"5940","ivory","gene.Ha412HOChr05g0229061"
"5941","yellow","gene.Ha412HOChr05g0229071"
"5942","blue","gene.Ha412HOChr05g0229091"
"5943","darkolivegreen","gene.Ha412HOChr05g0229171"
"5944","blue","gene.Ha412HOChr05g0229181"
"5945","darkgreen","gene.Ha412HOChr05g0229191"
"5946","turquoise","gene.Ha412HOChr05g0229221"
"5947","magenta","gene.Ha412HOChr05g0229241"
"5948","yellow","gene.Ha412HOChr05g0229251"
"5949","coral1","gene.Ha412HOChr05g0229351"
"5950","honeydew1","gene.Ha412HOChr05g0229411"
"5951","tan","gene.Ha412HOChr05g0229441"
"5952","turquoise","gene.Ha412HOChr05g0229461"
"5953","darkolivegreen","gene.Ha412HOChr05g0229491"
"5954","turquoise","gene.Ha412HOChr05g0229521"
"5955","honeydew1","gene.Ha412HOChr05g0229601"
"5956","salmon","gene.Ha412HOChr05g0229611"
"5957","honeydew1","gene.Ha412HOChr05g0229621"
"5958","turquoise","gene.Ha412HOChr05g0229631"
"5959","tan","gene.Ha412HOChr05g0229651"
"5960","tan","gene.Ha412HOChr05g0229671"
"5961","darkgrey","gene.Ha412HOChr05g0229761"
"5962","black","gene.Ha412HOChr05g0229791"
"5963","mediumorchid","gene.Ha412HOChr05g0229801"
"5964","orangered4","gene.Ha412HOChr05g0229831"
"5965","skyblue4","gene.Ha412HOChr05g0229921"
"5966","skyblue4","gene.Ha412HOChr05g0229931"
"5967","skyblue3","gene.Ha412HOChr05g0229941"
"5968","ivory","gene.Ha412HOChr05g0229971"
"5969","grey60","gene.Ha412HOChr05g0229991"
"5970","turquoise","gene.Ha412HOChr05g0230051"
"5971","ivory","gene.Ha412HOChr05g0230071"
"5972","blue","gene.Ha412HOChr05g0230131"
"5973","darkolivegreen","gene.Ha412HOChr05g0230151"
"5974","magenta","gene.Ha412HOChr05g0230161"
"5975","blue","gene.Ha412HOChr05g0230171"
"5976","thistle","gene.Ha412HOChr05g0230211"
"5977","yellow","gene.Ha412HOChr05g0230221"
"5978","palevioletred3","gene.Ha412HOChr05g0230261"
"5979","lightcyan","gene.Ha412HOChr05g0230321"
"5980","orangered4","gene.Ha412HOChr05g0230331"
"5981","turquoise","gene.Ha412HOChr05g0230431"
"5982","skyblue3","gene.Ha412HOChr05g0230441"
"5983","darkolivegreen","gene.Ha412HOChr05g0230471"
"5984","blue","gene.Ha412HOChr05g0230621"
"5985","darkturquoise","gene.Ha412HOChr05g0230651"
"5986","grey60","gene.Ha412HOChr05g0230671"
"5987","blue","gene.Ha412HOChr05g0230691"
"5988","black","gene.Ha412HOChr05g0230721"
"5989","darkolivegreen","gene.Ha412HOChr05g0230931"
"5990","blue","gene.Ha412HOChr05g0230951"
"5991","darkturquoise","gene.Ha412HOChr05g0230971"
"5992","orange","gene.Ha412HOChr05g0231021"
"5993","blue","gene.Ha412HOChr05g0231051"
"5994","blue","gene.Ha412HOChr05g0231301"
"5995","turquoise","gene.Ha412HOChr05g0231321"
"5996","tan","gene.Ha412HOChr05g0231421"
"5997","midnightblue","gene.Ha412HOChr05g0231581"
"5998","bisque4","gene.Ha412HOChr05g0231641"
"5999","orange","gene.Ha412HOChr05g0231661"
"6000","ivory","gene.Ha412HOChr05g0231691"
"6001","yellow","gene.Ha412HOChr05g0231701"
"6002","greenyellow","gene.Ha412HOChr05g0231721"
"6003","orange","gene.Ha412HOChr05g0231751"
"6004","darkgrey","gene.Ha412HOChr05g0231791"
"6005","ivory","gene.Ha412HOChr05g0231811"
"6006","blue","gene.Ha412HOChr05g0231871"
"6007","midnightblue","gene.Ha412HOChr05g0231891"
"6008","lavenderblush2","gene.Ha412HOChr05g0231901"
"6009","blue","gene.Ha412HOChr05g0231961"
"6010","darkmagenta","gene.Ha412HOChr05g0232001"
"6011","tan","gene.Ha412HOChr05g0232031"
"6012","turquoise","gene.Ha412HOChr05g0232111"
"6013","orangered4","gene.Ha412HOChr05g0232191"
"6014","orange","gene.Ha412HOChr05g0232201"
"6015","darkturquoise","gene.Ha412HOChr05g0232221"
"6016","darkturquoise","gene.Ha412HOChr05g0232261"
"6017","tan","gene.Ha412HOChr05g0232301"
"6018","turquoise","gene.Ha412HOChr05g0232321"
"6019","plum3","gene.Ha412HOChr05g0232341"
"6020","ivory","gene.Ha412HOChr05g0232361"
"6021","blue","gene.Ha412HOChr05g0232431"
"6022","skyblue2","gene.Ha412HOChr05g0232451"
"6023","magenta","gene.Ha412HOChr05g0232461"
"6024","orange","gene.Ha412HOChr05g0232471"
"6025","ivory","gene.Ha412HOChr05g0232531"
"6026","darkturquoise","gene.Ha412HOChr05g0232601"
"6027","orange","gene.Ha412HOChr05g0232631"
"6028","blue","gene.Ha412HOChr05g0232801"
"6029","ivory","gene.Ha412HOChr05g0232811"
"6030","turquoise","gene.Ha412HOChr05g0232821"
"6031","tan","gene.Ha412HOChr05g0233101"
"6032","orangered4","gene.Ha412HOChr05g0233181"
"6033","yellow","gene.Ha412HOChr05g0233191"
"6034","blue","gene.Ha412HOChr05g0233221"
"6035","black","gene.Ha412HOChr05g0233231"
"6036","orange","gene.Ha412HOChr05g0233241"
"6037","darkgreen","gene.Ha412HOChr05g0233291"
"6038","turquoise","gene.Ha412HOChr05g0233301"
"6039","orange","gene.Ha412HOChr05g0233351"
"6040","orangered4","gene.Ha412HOChr05g0233371"
"6041","darkgreen","gene.Ha412HOChr05g0233381"
"6042","orange","gene.Ha412HOChr05g0233391"
"6043","orange","gene.Ha412HOChr05g0233401"
"6044","orange","gene.Ha412HOChr05g0233421"
"6045","darkturquoise","gene.Ha412HOChr05g0233431"
"6046","orange","gene.Ha412HOChr05g0233441"
"6047","blue","gene.Ha412HOChr05g0233501"
"6048","blue","gene.Ha412HOChr05g0233541"
"6049","darkturquoise","gene.Ha412HOChr05g0233551"
"6050","skyblue3","gene.Ha412HOChr05g0233621"
"6051","darkturquoise","gene.Ha412HOChr05g0233661"
"6052","darkolivegreen","gene.Ha412HOChr05g0233731"
"6053","orange","gene.Ha412HOChr05g0233751"
"6054","ivory","gene.Ha412HOChr05g0233771"
"6055","blue","gene.Ha412HOChr05g0233801"
"6056","darkturquoise","gene.Ha412HOChr05g0233831"
"6057","blue","gene.Ha412HOChr05g0233841"
"6058","skyblue3","gene.Ha412HOChr05g0233851"
"6059","orange","gene.Ha412HOChr05g0233891"
"6060","orange","gene.Ha412HOChr05g0233911"
"6061","blue","gene.Ha412HOChr05g0233931"
"6062","orangered4","gene.Ha412HOChr05g0233941"
"6063","skyblue3","gene.Ha412HOChr05g0233961"
"6064","tan","gene.Ha412HOChr05g0234001"
"6065","tan","gene.Ha412HOChr05g0234081"
"6066","darkgreen","gene.Ha412HOChr05g0234111"
"6067","blue","gene.Ha412HOChr05g0234121"
"6068","orangered3","gene.Ha412HOChr05g0234151"
"6069","salmon2","gene.Ha412HOChr05g0234161"
"6070","skyblue","gene.Ha412HOChr05g0234221"
"6071","darkgreen","gene.Ha412HOChr05g0234241"
"6072","orange","gene.Ha412HOChr05g0234261"
"6073","darkgreen","gene.Ha412HOChr05g0234271"
"6074","darkgreen","gene.Ha412HOChr05g0234291"
"6075","tan","gene.Ha412HOChr05g0234311"
"6076","blue","gene.Ha412HOChr05g0234321"
"6077","black","gene.Ha412HOChr05g0234351"
"6078","grey60","gene.Ha412HOChr05g0234381"
"6079","darkturquoise","gene.Ha412HOChr05g0234391"
"6080","orangered4","gene.Ha412HOChr05g0234401"
"6081","turquoise","gene.Ha412HOChr05g0234411"
"6082","yellow","gene.Ha412HOChr05g0234421"
"6083","navajowhite1","gene.Ha412HOChr05g0234431"
"6084","orangered4","gene.Ha412HOChr05g0234461"
"6085","darkgrey","gene.Ha412HOChr05g0234471"
"6086","tan","gene.Ha412HOChr05g0234551"
"6087","turquoise","gene.Ha412HOChr05g0234581"
"6088","turquoise","gene.Ha412HOChr05g0234591"
"6089","orangered4","gene.Ha412HOChr05g0234621"
"6090","orange","gene.Ha412HOChr05g0234721"
"6091","orange","gene.Ha412HOChr05g0234891"
"6092","honeydew1","gene.Ha412HOChr05g0234951"
"6093","blue","gene.Ha412HOChr05g0234991"
"6094","turquoise","gene.Ha412HOChr05g0235011"
"6095","paleturquoise","gene.Ha412HOChr05g0235021"
"6096","blue","gene.Ha412HOChr05g0235071"
"6097","blue","gene.Ha412HOChr05g0235091"
"6098","orange","gene.Ha412HOChr05g0235111"
"6099","honeydew","gene.Ha412HOChr05g0235121"
"6100","yellow","gene.Ha412HOChr05g0235131"
"6101","yellow","gene.Ha412HOChr05g0235161"
"6102","blue","gene.Ha412HOChr05g0235191"
"6103","orange","gene.Ha412HOChr05g0235201"
"6104","darkturquoise","gene.Ha412HOChr05g0235211"
"6105","orange","gene.Ha412HOChr05g0235221"
"6106","orange","gene.Ha412HOChr05g0235241"
"6107","darkgreen","gene.Ha412HOChr05g0235271"
"6108","blue","gene.Ha412HOChr05g0235331"
"6109","orange","gene.Ha412HOChr05g0235391"
"6110","blue","gene.Ha412HOChr05g0235401"
"6111","lavenderblush2","gene.Ha412HOChr05g0235411"
"6112","orangered4","gene.Ha412HOChr05g0235441"
"6113","darkturquoise","gene.Ha412HOChr05g0235481"
"6114","ivory","gene.Ha412HOChr05g0235491"
"6115","ivory","gene.Ha412HOChr05g0235541"
"6116","blue","gene.Ha412HOChr05g0235621"
"6117","turquoise","gene.Ha412HOChr05g0235661"
"6118","yellow","gene.Ha412HOChr05g0235791"
"6119","cyan","gene.Ha412HOChr05g0235811"
"6120","mediumpurple3","gene.Ha412HOChr05g0235881"
"6121","orange","gene.Ha412HOChr05g0235901"
"6122","orange","gene.Ha412HOChr05g0235931"
"6123","darkgreen","gene.Ha412HOChr05g0235941"
"6124","turquoise","gene.Ha412HOChr05g0236011"
"6125","tan","gene.Ha412HOChr05g0236021"
"6126","black","gene.Ha412HOChr05g0236081"
"6127","blue","gene.Ha412HOChr05g0236091"
"6128","turquoise","gene.Ha412HOChr05g0236101"
"6129","yellow","gene.Ha412HOChr05g0236171"
"6130","blue","gene.Ha412HOChr05g0236181"
"6131","ivory","gene.Ha412HOChr05g0236201"
"6132","lightcyan","gene.Ha412HOChr05g0236231"
"6133","orange","gene.Ha412HOChr05g0236241"
"6134","cyan","gene.Ha412HOChr05g0236251"
"6135","orange","gene.Ha412HOChr05g0236271"
"6136","blue","gene.Ha412HOChr05g0236301"
"6137","blue","gene.Ha412HOChr05g0236321"
"6138","orange","gene.Ha412HOChr05g0236331"
"6139","orangered4","gene.Ha412HOChr05g0236351"
"6140","orangered4","gene.Ha412HOChr05g0236361"
"6141","blue","gene.Ha412HOChr05g0236371"
"6142","yellow","gene.Ha412HOChr05g0236421"
"6143","tan","gene.Ha412HOChr05g0236431"
"6144","turquoise","gene.Ha412HOChr05g0236441"
"6145","paleturquoise","gene.Ha412HOChr05g0236451"
"6146","tan","gene.Ha412HOChr05g0236541"
"6147","tan","gene.Ha412HOChr05g0236551"
"6148","paleturquoise","gene.Ha412HOChr05g0236581"
"6149","blue","gene.Ha412HOChr05g0236821"
"6150","blue","gene.Ha412HOChr05g0236841"
"6151","tan","gene.Ha412HOChr05g0236851"
"6152","blue","gene.Ha412HOChr05g0236861"
"6153","orange","gene.Ha412HOChr05g0236911"
"6154","orangered4","gene.Ha412HOChr05g0236941"
"6155","orange","gene.Ha412HOChr05g0236951"
"6156","yellow","gene.Ha412HOChr05g0237631"
"6157","orange","gene.Ha412HOChr05g0237651"
"6158","orange","gene.Ha412HOChr05g0237741"
"6159","yellow","gene.Ha412HOChr05g0237751"
"6160","blue","gene.Ha412HOChr05g0237771"
"6161","blue","gene.Ha412HOChr05g0237781"
"6162","violet","gene.Ha412HOChr05g0237821"
"6163","black","gene.Ha412HOChr05g0237841"
"6164","yellow","gene.Ha412HOChr05g0237851"
"6165","turquoise","gene.Ha412HOChr05g0237871"
"6166","tan","gene.Ha412HOChr05g0237891"
"6167","orange","gene.Ha412HOChr05g0237911"
"6168","orange","gene.Ha412HOChr05g0237941"
"6169","ivory","gene.Ha412HOChr05g0237991"
"6170","ivory","gene.Ha412HOChr05g0238011"
"6171","orange","gene.Ha412HOChr05g0238151"
"6172","yellowgreen","gene.Ha412HOChr05g0238171"
"6173","darkturquoise","gene.Ha412HOChr05g0238191"
"6174","orange","gene.Ha412HOChr05g0238201"
"6175","darkturquoise","gene.Ha412HOChr05g0238271"
"6176","blue","gene.Ha412HOChr05g0238361"
"6177","orange","gene.Ha412HOChr05g0238371"
"6178","ivory","gene.Ha412HOChr05g0238431"
"6179","yellow","gene.Ha412HOChr05g0238441"
"6180","turquoise","gene.Ha412HOChr05g0238451"
"6181","blue","gene.Ha412HOChr05g0238461"
"6182","skyblue3","gene.Ha412HOChr05g0238471"
"6183","cyan","gene.Ha412HOChr05g0238541"
"6184","thistle3","gene.Ha412HOChr05g0238571"
"6185","darkolivegreen","gene.Ha412HOChr05g0238601"
"6186","yellow","gene.Ha412HOChr05g0238611"
"6187","darkolivegreen","gene.Ha412HOChr05g0238651"
"6188","darkolivegreen","gene.Ha412HOChr05g0238661"
"6189","darkolivegreen","gene.Ha412HOChr05g0238681"
"6190","tan","gene.Ha412HOChr05g0238711"
"6191","yellow","gene.Ha412HOChr05g0238721"
"6192","darkgreen","gene.Ha412HOChr05g0238731"
"6193","darkgreen","gene.Ha412HOChr05g0238751"
"6194","orange","gene.Ha412HOChr05g0238771"
"6195","blue","gene.Ha412HOChr05g0238781"
"6196","darkturquoise","gene.Ha412HOChr05g0238801"
"6197","tan","gene.Ha412HOChr05g0238841"
"6198","paleturquoise","gene.Ha412HOChr05g0238871"
"6199","paleturquoise","gene.Ha412HOChr05g0238881"
"6200","orange","gene.Ha412HOChr05g0238911"
"6201","violet","gene.Ha412HOChr05g0238931"
"6202","mediumpurple2","gene.Ha412HOChr05g0238991"
"6203","violet","gene.Ha412HOChr05g0239011"
"6204","skyblue","gene.Ha412HOChr05g0239051"
"6205","cyan","gene.Ha412HOChr05g0239061"
"6206","darkturquoise","gene.Ha412HOChr05g0239101"
"6207","honeydew1","gene.Ha412HOChr05g0239111"
"6208","blue","gene.Ha412HOChr05g0239121"
"6209","turquoise","gene.Ha412HOChr05g0239131"
"6210","yellow","gene.Ha412HOChr05g0239141"
"6211","orange","gene.Ha412HOChr05g0239161"
"6212","turquoise","gene.Ha412HOChr05g0239211"
"6213","blue","gene.Ha412HOChr05g0239231"
"6214","black","gene.Ha412HOChr05g0239251"
"6215","magenta","gene.Ha412HOChr05g0239261"
"6216","black","gene.Ha412HOChr05g0239271"
"6217","blue","gene.Ha412HOChr05g0239321"
"6218","darkgrey","gene.Ha412HOChr05g0239331"
"6219","blue","gene.Ha412HOChr05g0239361"
"6220","turquoise","gene.Ha412HOChr05g0239371"
"6221","orange","gene.Ha412HOChr05g0239381"
"6222","black","gene.Ha412HOChr05g0239401"
"6223","blue","gene.Ha412HOChr05g0239411"
"6224","darkgreen","gene.Ha412HOChr05g0239421"
"6225","orange","gene.Ha412HOChr05g0239531"
"6226","orange","gene.Ha412HOChr05g0239561"
"6227","orange","gene.Ha412HOChr05g0239621"
"6228","plum3","gene.Ha412HOChr05g0239931"
"6229","blue","gene.Ha412HOChr05g0239941"
"6230","orange","gene.Ha412HOChr05g0239951"
"6231","orangered4","gene.Ha412HOChr05g0239961"
"6232","turquoise","gene.Ha412HOChr05g0240021"
"6233","turquoise","gene.Ha412HOChr05g0240091"
"6234","magenta","gene.Ha412HOChr05g0240141"
"6235","turquoise","gene.Ha412HOChr05g0240151"
"6236","skyblue3","gene.Ha412HOChr05g0240161"
"6237","yellow","gene.Ha412HOChr05g0240251"
"6238","turquoise","gene.Ha412HOChr05g0240281"
"6239","blue","gene.Ha412HOChr05g0240311"
"6240","black","gene.Ha412HOChr05g0240321"
"6241","blue","gene.Ha412HOChr05g0240331"
"6242","ivory","gene.Ha412HOChr05g0240341"
"6243","orangered4","gene.Ha412HOChr05g0240361"
"6244","ivory","gene.Ha412HOChr05g0240381"
"6245","lightcyan","gene.Ha412HOChr05g0240481"
"6246","darkgrey","gene.Ha412HOChr05g0240491"
"6247","blue","gene.Ha412HOChr05g0240541"
"6248","firebrick4","gene.Ha412HOChr05g0240561"
"6249","orangered4","gene.Ha412HOChr05g0240571"
"6250","blue","gene.Ha412HOChr05g0240601"
"6251","grey60","gene.Ha412HOChr05g0240641"
"6252","darkolivegreen","gene.Ha412HOChr05g0240661"
"6253","darkolivegreen","gene.Ha412HOChr05g0240671"
"6254","navajowhite1","gene.Ha412HOChr05g0240691"
"6255","turquoise","gene.Ha412HOChr05g0240731"
"6256","darkgreen","gene.Ha412HOChr05g0240741"
"6257","coral2","gene.Ha412HOChr05g0240751"
"6258","blue","gene.Ha412HOChr05g0240761"
"6259","turquoise","gene.Ha412HOChr05g0240781"
"6260","ivory","gene.Ha412HOChr05g0240801"
"6261","magenta","gene.Ha412HOChr05g0240811"
"6262","bisque4","gene.Ha412HOChr05g0240821"
"6263","orangered4","gene.Ha412HOChr05g0240831"
"6264","black","gene.Ha412HOChr05g0240931"
"6265","blue","gene.Ha412HOChr05g0240941"
"6266","yellow","gene.Ha412HOChr05g0240951"
"6267","yellow","gene.Ha412HOChr05g0241021"
"6268","coral2","gene.Ha412HOChr05g0241061"
"6269","navajowhite1","gene.Ha412HOChr05g0241091"
"6270","yellow","gene.Ha412HOChr05g0241101"
"6271","blue","gene.Ha412HOChr05g0241161"
"6272","cyan","gene.Ha412HOChr05g0241171"
"6273","magenta","gene.Ha412HOChr05g0241191"
"6274","magenta","gene.Ha412HOChr05g0241201"
"6275","palevioletred3","gene.Ha412HOChr05g0241221"
"6276","cyan","gene.Ha412HOChr05g0241301"
"6277","black","gene.Ha412HOChr05g0241311"
"6278","midnightblue","gene.Ha412HOChr05g0241321"
"6279","darkgreen","gene.Ha412HOChr05g0241331"
"6280","darkmagenta","gene.Ha412HOChr05g0241341"
"6281","ivory","gene.Ha412HOChr05g0241351"
"6282","yellow","gene.Ha412HOChr05g0241371"
"6283","orangered4","gene.Ha412HOChr05g0241381"
"6284","darkseagreen4","gene.Ha412HOChr05g0241411"
"6285","blue","gene.Ha412HOChr05g0241431"
"6286","black","gene.Ha412HOChr05g0241441"
"6287","darkseagreen4","gene.Ha412HOChr05g0241451"
"6288","darkorange2","gene.Ha412HOChr05g0241461"
"6289","black","gene.Ha412HOChr05g0241471"
"6290","cyan","gene.Ha412HOChr05g0241491"
"6291","blue","gene.Ha412HOChr05g0241501"
"6292","plum3","gene.Ha412HOChr05g0241541"
"6293","blue","gene.Ha412HOChr05g0241551"
"6294","darkturquoise","gene.Ha412HOChr05g0241571"
"6295","turquoise","gene.Ha412HOChr05g0241591"
"6296","magenta","gene.Ha412HOChr05g0241601"
"6297","darkturquoise","gene.Ha412HOChr05g0241611"
"6298","blue","gene.Ha412HOChr05g0241651"
"6299","blue","gene.Ha412HOChr05g0241661"
"6300","blue","gene.Ha412HOChr05g0241671"
"6301","black","gene.Ha412HOChr05g0241681"
"6302","darkgrey","gene.Ha412HOChr05g0241691"
"6303","magenta","gene.Ha412HOChr05g0241731"
"6304","black","gene.Ha412HOChr05g0241741"
"6305","blue","gene.Ha412HOChr05g0241751"
"6306","turquoise","gene.Ha412HOChr05g0241791"
"6307","magenta","gene.Ha412HOChr05g0241831"
"6308","blue","gene.Ha412HOChr05g0241861"
"6309","darkseagreen4","gene.Ha412HOChr05g0241881"
"6310","darkorange2","gene.Ha412HOChr05g0241901"
"6311","darkorange","gene.Ha412HOChr05g0241941"
"6312","blue","gene.Ha412HOChr05g0241951"
"6313","orangered4","gene.Ha412HOChr05g0241961"
"6314","magenta","gene.Ha412HOChr05g0242021"
"6315","magenta4","gene.Ha412HOChr05g0242041"
"6316","darkturquoise","gene.Ha412HOChr05g0242061"
"6317","yellow","gene.Ha412HOChr05g0242121"
"6318","blue","gene.Ha412HOChr05g0242141"
"6319","tan","gene.Ha412HOChr05g0242171"
"6320","tan","gene.Ha412HOChr05g0242241"
"6321","black","gene.Ha412HOChr05g0242271"
"6322","indianred4","gene.Ha412HOChr05g0242321"
"6323","blue","gene.Ha412HOChr05g0242381"
"6324","blue","gene.Ha412HOChr05g0242391"
"6325","ivory","gene.Ha412HOChr05g0242491"
"6326","darkolivegreen","gene.Ha412HOChr05g0242511"
"6327","black","gene.Ha412HOChr05g0242521"
"6328","darkolivegreen","gene.Ha412HOChr05g0242531"
"6329","blue","gene.Ha412HOChr05g0242541"
"6330","orangered4","gene.Ha412HOChr05g0242591"
"6331","blue","gene.Ha412HOChr05g0242601"
"6332","antiquewhite4","gene.Ha412HOChr05g0242641"
"6333","antiquewhite2","gene.Ha412HOChr05g0242661"
"6334","darkolivegreen","gene.Ha412HOChr05g0242751"
"6335","skyblue3","gene.Ha412HOChr05g0242771"
"6336","darkturquoise","gene.Ha412HOChr05g0242801"
"6337","blue","gene.Ha412HOChr05g0242831"
"6338","darkolivegreen","gene.Ha412HOChr05g0242841"
"6339","cyan","gene.Ha412HOChr05g0242851"
"6340","blue","gene.Ha412HOChr05g0242991"
"6341","lightsteelblue","gene.Ha412HOChr05g0243011"
"6342","magenta","gene.Ha412HOChr05g0243051"
"6343","cyan","gene.Ha412HOChr05g0243081"
"6344","blue","gene.Ha412HOChr05g0243121"
"6345","blue","gene.Ha412HOChr05g0243131"
"6346","ivory","gene.Ha412HOChr05g0243281"
"6347","yellow","gene.Ha412HOChr05g0243301"
"6348","ivory","gene.Ha412HOChr05g0243311"
"6349","turquoise","gene.Ha412HOChr05g0243521"
"6350","orangered4","gene.Ha412HOChr05g0243541"
"6351","black","gene.Ha412HOChr05g0243621"
"6352","orange","gene.Ha412HOChr05g0243641"
"6353","sienna4","gene.Ha412HOChr05g0243671"
"6354","ivory","gene.Ha412HOChr05g0243691"
"6355","black","gene.Ha412HOChr05g0243701"
"6356","black","gene.Ha412HOChr05g0243711"
"6357","darkturquoise","gene.Ha412HOChr05g0243721"
"6358","magenta","gene.Ha412HOChr05g0243731"
"6359","yellow","gene.Ha412HOChr05g0243751"
"6360","darkorange2","gene.Ha412HOChr05g0243761"
"6361","darkorange2","gene.Ha412HOChr05g0243771"
"6362","blue","gene.Ha412HOChr05g0243781"
"6363","turquoise","gene.Ha412HOChr05g0243791"
"6364","darkturquoise","gene.Ha412HOChr05g0243821"
"6365","darkturquoise","gene.Ha412HOChr05g0243831"
"6366","black","gene.Ha412HOChr05g0243841"
"6367","tan","gene.Ha412HOChr05g0243851"
"6368","coral1","gene.Ha412HOChr05g0243861"
"6369","blue","gene.Ha412HOChr05g0243871"
"6370","darkturquoise","gene.Ha412HOChr05g0243881"
"6371","cyan","gene.Ha412HOChr05g0243891"
"6372","darkseagreen4","gene.Ha412HOChr05g0243901"
"6373","darkgreen","gene.Ha412HOChr05g0243921"
"6374","yellow","gene.Ha412HOChr05g0243941"
"6375","turquoise","gene.Ha412HOChr05g0243951"
"6376","thistle3","gene.Ha412HOChr05g0244061"
"6377","darkseagreen4","gene.Ha412HOChr05g0244101"
"6378","darkgreen","gene.Ha412HOChr05g0244111"
"6379","magenta","gene.Ha412HOChr05g0244121"
"6380","turquoise","gene.Ha412HOChr05g0244141"
"6381","darkseagreen4","gene.Ha412HOChr05g0244201"
"6382","skyblue4","gene.Ha412HOChr05g0244231"
"6383","blue","gene.Ha412HOChr05g0244241"
"6384","turquoise","gene.Ha412HOChr05g0244271"
"6385","yellow","gene.Ha412HOChr05g0244281"
"6386","darkmagenta","gene.Ha412HOChr05g0244301"
"6387","darkorange2","gene.Ha412HOChr05g0244341"
"6388","darkorange2","gene.Ha412HOChr05g0244361"
"6389","black","gene.Ha412HOChr05g0244371"
"6390","yellow","gene.Ha412HOChr05g0244391"
"6391","magenta","gene.Ha412HOChr05g0244401"
"6392","blue","gene.Ha412HOChr05g0244441"
"6393","tan","gene.Ha412HOChr05g0244491"
"6394","blue","gene.Ha412HOChr05g0244501"
"6395","darkturquoise","gene.Ha412HOChr05g0244531"
"6396","darkmagenta","gene.Ha412HOChr05g0244551"
"6397","cyan","gene.Ha412HOChr05g0244561"
"6398","tan","gene.Ha412HOChr05g0244571"
"6399","palevioletred3","gene.Ha412HOChr05g0244591"
"6400","darkmagenta","gene.Ha412HOChr05g0244641"
"6401","darkgreen","gene.Ha412HOChr05g0244651"
"6402","ivory","gene.Ha412HOChr05g0244691"
"6403","ivory","gene.Ha412HOChr05g0244701"
"6404","darkseagreen4","gene.Ha412HOChr05g0244741"
"6405","black","gene.Ha412HOChr05g0244771"
"6406","darkgreen","gene.Ha412HOChr05g0244791"
"6407","darkgreen","gene.Ha412HOChr05g0244831"
"6408","black","gene.Ha412HOChr05g0244841"
"6409","mediumpurple3","gene.Ha412HOChr05g0244851"
"6410","darkorange","gene.Ha412HOChr05g0244901"
"6411","blue","gene.Ha412HOChr05g0244911"
"6412","ivory","gene.Ha412HOChr05g0244921"
"6413","antiquewhite2","gene.Ha412HOChr05g0244951"
"6414","magenta4","gene.Ha412HOChr05g0244971"
"6415","honeydew1","gene.Ha412HOChr05g0244991"
"6416","darkgreen","gene.Ha412HOChr06g0245041"
"6417","magenta","gene.Ha412HOChr06g0245071"
"6418","darkturquoise","gene.Ha412HOChr06g0245101"
"6419","black","gene.Ha412HOChr06g0245121"
"6420","darkturquoise","gene.Ha412HOChr06g0245141"
"6421","black","gene.Ha412HOChr06g0245171"
"6422","turquoise","gene.Ha412HOChr06g0245201"
"6423","blue","gene.Ha412HOChr06g0245211"
"6424","turquoise","gene.Ha412HOChr06g0245251"
"6425","bisque4","gene.Ha412HOChr06g0245261"
"6426","yellow","gene.Ha412HOChr06g0245281"
"6427","yellow","gene.Ha412HOChr06g0245301"
"6428","blue","gene.Ha412HOChr06g0245321"
"6429","black","gene.Ha412HOChr06g0245331"
"6430","turquoise","gene.Ha412HOChr06g0245391"
"6431","yellow","gene.Ha412HOChr06g0245401"
"6432","darkmagenta","gene.Ha412HOChr06g0245441"
"6433","yellow","gene.Ha412HOChr06g0245451"
"6434","yellow","gene.Ha412HOChr06g0245461"
"6435","yellow","gene.Ha412HOChr06g0245481"
"6436","blue","gene.Ha412HOChr06g0245491"
"6437","yellow","gene.Ha412HOChr06g0245501"
"6438","palevioletred2","gene.Ha412HOChr06g0245521"
"6439","darkturquoise","gene.Ha412HOChr06g0245531"
"6440","blue","gene.Ha412HOChr06g0245541"
"6441","magenta","gene.Ha412HOChr06g0245561"
"6442","black","gene.Ha412HOChr06g0245581"
"6443","turquoise","gene.Ha412HOChr06g0245591"
"6444","skyblue2","gene.Ha412HOChr06g0245601"
"6445","yellow","gene.Ha412HOChr06g0245671"
"6446","darkolivegreen4","gene.Ha412HOChr06g0245701"
"6447","palevioletred3","gene.Ha412HOChr06g0245711"
"6448","blue","gene.Ha412HOChr06g0245771"
"6449","thistle3","gene.Ha412HOChr06g0245821"
